raw_reviews,vader_score,vader_label
Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible Terrible,-0.9977,negative
"Great music service, the audio is high quality and the app is easy to use. Also very quick and friendly support.",0.9211,positive
Please ignore previous negative rating. This app is super great. I give it five stars+,0.6249,positive
"This pop-up ""Get the best Spotify experience on Android 12"" is too annoying. Please let's get rid of this.",0.5859,positive
Really buggy and terrible to use as of recently,-0.5209,negative
Dear Spotify why do I get songs that I didn't put on my playlist??? And why do we have shuffle play?,0.7149,positive
The player controls sometimes disappear for no reason. App restart forgets what I was playing but fixes the issue.,-0.1655,negative
I love the selection and the lyrics are provided with the song you're listening to!,0.6696,positive
"Still extremely slow when changing storage to external sd card.. I'm convinced this is done on purpose, spotify knows of this issue and has done NOTHING to solve it! Over time I have changed sd cards, each being faster in read, write speeds(all samsung brand). And please add ""don't like song"" so it will never appear again in my searches or playlists.",0.3798,positive
"It's a great app and the best mp3 music app I have ever used but there is one problem that, why can't we play some songs or find some songs? despite this the app is wonderful I recommend it. it's just the best.",0.9342,positive
"I'm deleting this app, for the following reasons: This app now has a failing business model. Whether streaming services like it, or not: the consumer doesn't want to pay for music they can't fully own, and 6 ads successively, upon logging in, before a single song, is too much. Closed the app during ad number 6, and I'm more patient than most. If those are the only ways you can profit: you've already peaked. All that's left is your decline.",0.5226,positive
"Love Spotify, and usually this app is the best, but as others have stated; the control buttons disappear and podcasts stop for no reason, which is only fixed by deleting and reinstalling the app. First world problems for sure, but highly annoying nonetheless, especially when paying for prime.",-0.8095,negative
Can't play Spotify when on WiFi,-0.2584,negative
"I had amazon premium music family package and it was good. Everyone could listen to whatever they liked on their respective alexas in their rooms by just asking to play, no problem. We now have spotify premium family and the alexa integration is poor. It just doesn't like spotify. It just stops playing all of the time , you can't play on different alexa devices at the same time just by asking. Why isn't the integration better?",0.6604,positive
