processed_reviews,vader_score,vader_label
raw review,-0.9977,negative
great music service audio high quality app easy use quick friendly support,0.9211,positive
ignore previous negative rating app super great stars+,0.6249,positive
pop good spotify experience android 12 annoying let rid,0.5859,positive
buggy terrible use recently,-0.5209,negative
dear spotify song playlist shuffle play,0.7149,positive
player control disappear reason app restart forget play fix issue,-0.1655,negative
love selection lyric provide song listen,0.6696,positive
extremely slow change storage external sd card convince purpose spotify know issue solve time change sd card fast read write speeds(all samsung brand add like song appear search playlist,0.3798,positive
great app good mp3 music app problem play song find song despite app wonderful recommend good,0.9342,positive
delete app following reason app fail business model streaming service like consumer want pay music fully 6 ad successively log single song close app ad number 6 patient way profit peak leave decline,0.5226,positive
love spotify usually app good state control button disappear podcast stop reason fix delete reinstall app world problem sure highly annoying nonetheless especially pay prime,-0.8095,negative
play spotify wifi,-0.2584,negative
amazon premium music family package good listen like respective alexas room ask play problem spotify premium family alexa integration poor like spotify stop play time play different alexa device time ask integration well,0.6604,positive
bad app say offline show song podcast,-0.6808,negative
hav music like super raise hand,0.7506,positive
improve ia recommend song find similar song good music app youtube well spotify king,0.9151,positive
android user load glitch app player bar disappear shuffle button miss sort,-0.0258,neutral
listen download playlist offline point feature disappoint,-0.5574,negative
crash unable play stop work everytime use,0.0516,positive
know ad cost free use yes s right 3 ad straight like 1 hlaf minute think little volume increase ad,0.8225,positive
favorite platform listen music like subscribe alot thing,0.1141,positive
voice sweet hearable,0.5949,positive
log acc try open log will open logo,0.0,neutral
usually love app have problem report random pause stop play restart currently view song podcast currently play pause skip forth fairly unusable stage acceptable pay service,-0.2247,negative
amazing music experience,0.5859,positive
like like listen commercial well like song want know bring thank spotify,0.8996,positive
jammin hyuh old school hardcore thrash hear year return youth yes,0.7935,positive
not listen download stuff offline,-0.128,negative
app internet available phone wifi datum work fre add happen time want search song,-0.2263,negative
perfect add light theme,0.5719,positive
option delete song album option download track album option shuffle music library create playlist like music,-0.5842,negative
good music app see,0.6369,positive
wow sudden login work 100 positive correct morning app ask login happen obviously have problem find email account tell change password suspicious behaviour yeah log spotify xbox suspicious thank stress morning need will renew way teach lesson,0.731,positive
unable use ph get download unable log,0.0,neutral
plz remove add ther continuously 2 3 add list remove 2 add 1 add,0.0772,positive
like song play offline help signal problem,0.5574,positive
try listen playlist play song try different go little weird,0.2484,positive
good app listen music,0.4404,positive
commercial add need wifi use satellite radio station pick look,-0.3637,negative
wide range song collection,0.0,neutral
deal compare desktop version inferior ability play song bare barely free need say think point clear,0.5005,positive
spotify awesome love have obscure artist think fingertip easy access new thing update lose star constantly ask review,0.9115,positive
good app stream music,0.6696,positive
account glitche log try fix will let log show logo sign screen,0.0,neutral
open app week play bar open shut right,-0.2584,negative
lose download button download playlist,-0.3182,negative
love app style music selection specific,0.6369,positive
pretty good app well quality music,0.8402,positive
videoke feature device,0.0,neutral
love feature app thing bit expensive month subcription $ 9.90,0.3818,positive
podcast nightmare try rid podcast app ridiculous stupid thing home page click interested till blue face throw spam cast,-0.8736,negative
good birthday present receive baby brother listen everyday happy selection christian artist music love find new artist let listen great podcast thank wonderful app,0.9777,positive
downside rotate song month listen great song month maybe,0.4767,positive
sound quality good listen favourite song anytime disturbance good experience   thumb   love app alot provide good service   thumb   thumb,0.9491,positive
keep cut show song play,0.0772,positive
unuser friendly compare ipad pc,0.539,positive
pay customer spotify perfecto,0.3182,positive
add like 6 add start song need premium play song,0.6326,positive
exceptional application online song love option merge app inter music player samsung overall application work flow,0.5994,positive
spotify well joox fosho,0.4404,positive
disney start pay ad disney+ non premium version spotify useless 1 2 song 2 ad disney+ change review will ad,-0.4939,negative
dose play like song song look get star,0.5574,positive
great listen favorite artist,0.7964,positive
trash app log fb account,0.0,neutral
app incredible good use enjoy music everyday minute second love,0.9016,positive
app good cool interested app love iam listen day night spotify support app suggest try app fun spotify try spotify try army blink app good army blink today special day army army day love army love blink happy app spotify try spotif love spotify   smile face smile eye   smile face smile eye   smile face smile eye   beam face smile eye   beam face smile eye   beam face smile eye   beam face smile eye,0.9971,positive
