Tokens,Label
great music service audio high quality app easy use quick friendly support,positive
ignore previous negative rating app super great stars+,positive
pop good spotify experience android 12 annoying let rid,positive
buggy terrible use recently,negative
dear spotify song playlist shuffle play,negative
player control disappear reason app restart forget play fix issue,neutral
love selection lyric provide song listen,positive
extremely slow change storage external sd card convince purpose spotify know issue solve time change sd card fast read write speeds(all samsung brand add like song appear search playlist,neutral
great app good mp3 music app problem play song find song despite app wonderful recommend good,positive
delete app following reason app fail business model streaming service like consumer want pay music fully 6 ad successively log single song close app ad number 6 patient way profit peak leave decline,negative
love spotify usually app good state control button disappear podcast stop reason fix delete reinstall app world problem sure highly annoying nonetheless especially pay prime,negative
play spotify wifi,negative
amazon premium music family package good listen like respective alexas room ask play problem spotify premium family alexa integration poor like spotify stop play time play different alexa device time ask integration well,negative
bad app say offline show song podcast,negative
hav music like super raise hand,positive
improve ia recommend song find similar song good music app youtube well spotify king,positive
android user load glitch app player bar disappear shuffle button miss sort,negative
listen download playlist offline point feature disappoint,neutral
crash unable play stop work everytime use,negative
know ad cost free use yes s right 3 ad straight like 1 hlaf minute think little volume increase ad,negative
favorite platform listen music like subscribe alot thing,positive
voice sweet hearable,positive
log acc try open log will open logo,neutral
usually love app have problem report random pause stop play restart currently view song podcast currently play pause skip forth fairly unusable stage acceptable pay service,negative
amazing music experience,positive
like like listen commercial well like song want know bring thank spotify,positive
jammin hyuh old school hardcore thrash hear year return youth yes,positive
not listen_NEG download_NEG stuff_NEG offline_NEG,negative
app internet available phone wifi datum work fre add happen time want search song,negative
perfect add light theme,positive
option delete song album option download track album option shuffle music library create playlist like music,neutral
good music app see,positive
wow sudden login work 100 positive correct morning app ask login happen obviously have problem find email account tell change password suspicious behaviour yeah log spotify xbox suspicious thank stress morning need will renew way teach lesson,negative
unable use ph get download unable log,negative
plz remove add ther continuously 2 3 add list remove 2 add 1 add,negative
like song play offline help signal problem,positive
try listen playlist play song try different go little weird,positive
good app listen music,positive
commercial add need wifi use satellite radio station pick look,positive
wide range song collection,positive
deal compare desktop version inferior ability play song bare barely free need say think point clear,negative
spotify awesome love have obscure artist think fingertip easy access new thing update lose star constantly ask review,positive
good app stream music,positive
account glitche log try fix will let log show logo sign screen,negative
open app week play bar open shut right,negative
lose download button download playlist,negative
love app style music selection specific,positive
pretty good app well quality music,positive
videoke feature device,positive
love feature app thing bit expensive month subcription $ 9.90,positive
podcast nightmare try rid podcast app ridiculous stupid thing home page click interested till blue face throw spam cast,negative
good birthday present receive baby brother listen everyday happy selection christian artist music love find new artist let listen great podcast thank wonderful app,positive
downside rotate song month listen great song month maybe,positive
sound quality good listen favourite song anytime disturbance good experience   thumb   love app alot provide good service   thumb   thumb,positive
keep cut show song play,negative
unuser friendly compare ipad pc,negative
pay customer spotify perfecto,positive
add like 6 add start song need premium play song,negative
exceptional application online song love option merge app inter music player samsung overall application work flow,positive
spotify well joox fosho,positive
disney start pay ad disney+ non premium version spotify useless 1 2 song 2 ad disney+ change review will ad,negative
dose play like song song look get star,neutral
great listen favorite artist,positive
trash app log fb account,negative
app incredible good use enjoy music everyday minute second love,positive
app good cool interested app love iam listen day night spotify support app suggest try app fun spotify try spotify try army blink app good army blink today special day army army day love army love blink happy app spotify try spotif love spotify   smile face smile eye   smile face smile eye   smile face smile eye   beam face smile eye   beam face smile eye   beam face smile eye   beam face smile eye,positive
good not let_NEG pick_NEG song_NEG force_NEG listen_NEG entire_NEG playlist_NEG fav_NEG song_NEG limit_NEG 6_NEG skip_NEG hour_NEG limit_NEG skip_NEG song_NEG,negative
love soo rate 4 star problem constant ad singing option near lyric appear anymore,positive
rate 5 play playlist change different song playlist hope fix soon,negative
love app small issue 1 find song add like look song take different playlist fix,negative
long ad,neutral
like app play song play different,negative
issue app year premium user struggle say player skip pause etc sure samsung galaxy come briefly restart phone   woman shrug,negative
great song selection amazing audio quality problem everyday cast google home connection issue lose control volume need open app able change volume inconvenience think option shuffle song have playlist like single song time consume make playlist easy select multiple album example,neutral
bring shuffle album option   man facepalme medium dark skin tone,positive
quality sound selection add loud music,positive
stick black screen,negative
great music quality,positive
